Lectura regla,V. Acum.,Area,V. Parcial,Cota
9.69,511145.00,581828.00,5793.00,1124.00
9.70,516988.00,586832.00,5843.00,1124.00
9.71,522882.00,591835.00,5893.00,1124.00
9.72,528825.00,596839.00,5943.00,1124.00
9.73,534819.00,601842.00,5993.00,1124.00
9.74,540862.00,606846.00,6043.00,1125.00
9.75,546955.00,611700.00,6093.00,1125.00
9.76,553096.00,616554.00,6141.00,1125.00
9.77,559286.00,621407.00,6190.00,1125.00
9.78,565524.00,626261.00,6238.00,1125.00
9.79,571811.00,631115.00,6287.00,1125.00
9.80,578146.00,635969.00,6335.00,1125.00
9.81,584530.00,640823.00,6384.00,1125.00
9.82,590963.00,645677.00,6432.00,1125.00
9.83,597444.00,650531.00,6481.00,1125.00
9.84,603974.00,655385.00,6530.00,1125.00
9.85,610552.00,660239.00,6578.00,1125.00
9.86,617178.00,665092.00,6627.00,1125.00
9.87,623853.00,669946.00,6675.00,1125.00
9.88,630577.00,674800.00,6724.00,1125.00
9.89,637349.00,679654.00,6772.00,1125.00
9.90,644170.00,684508.00,6821.00,1125.00
9.91,651040.00,689362.00,6869.00,1125.00
9.92,657958.00,694216.00,6918.00,1125.00
9.93,664924.00,699070.00,6966.00,1125.00
9.94,671939.00,703924.00,7015.00,1125.00
9.95,679002.00,708777.00,7064.00,1125.00
9.96,686114.00,713631.00,7112.00,1125.00
9.97,693275.00,718485.00,7161.00,1125.00
9.98,700484.00,723339.00,7209.00,1125.00
9.99,707742.00,728193.00,7258.00,1125.00
10.00,715037.00,730834.00,7295.00,1125.00
10.01,722359.00,733476.00,7322.00,1125.00
10.02,729707.00,736117.00,7348.00,1125.00
10.03,737081.00,738759.00,7374.00,1125.00
10.04,744482.00,741400.00,7401.00,1125.00
10.05,751909.00,744042.00,7427.00,1125.00
10.06,759363.00,746683.00,7454.00,1125.00
10.07,766843.00,749325.00,7480.00,1125.00
10.08,774349.00,751966.00,7506.00,1125.00
10.09,781882.00,754608.00,7533.00,1125.00
10.10,789441.00,757249.00,7559.00,1125.00
10.11,797027.00,759890.00,7586.00,1125.00
10.12,804639.00,762532.00,7612.00,1125.00
10.13,812277.00,765173.00,7639.00,1125.00
10.14,819942.00,767815.00,7665.00,1125.00
10.15,827634.00,770456.00,7691.00,1125.00
10.16,835352.00,773098.00,7718.00,1125.00
10.17,843096.00,775739.00,7744.00,1125.00
10.18,850866.00,778381.00,7771.00,1125.00
10.19,858663.00,781022.00,7797.00,1125.00
10.20,866487.00,783664.00,7823.00,1125.00
10.21,874337.00,786305.00,7850.00,1125.00
10.22,882213.00,788946.00,7876.00,1125.00
10.23,890116.00,791588.00,7903.00,1125.00
10.24,898045.00,794229.00,7929.00,1125.00
10.25,906000.00,796900.00,7956.00,1125.00
10.26,913983.00,799571.00,7982.00,1125.00
10.27,921992.00,802242.00,8009.00,1125.00
10.28,930027.00,804913.00,8036.00,1125.00
10.29,938090.00,807584.00,8062.00,1125.00
10.30,946179.00,810255.00,8089.00,1125.00
10.31,954295.00,812926.00,8116.00,1125.00
10.32,962438.00,815597.00,8143.00,1125.00
10.33,970607.00,818268.00,8169.00,1125.00
10.34,978803.00,820939.00,8196.00,1125.00
10.35,987026.00,823610.00,8223.00,1125.00
10.36,995275.00,826281.00,8249.00,1125.00
10.37,1003551.00,828952.00,8276.00,1125.00
10.38,1011854.00,831622.00,8303.00,1125.00
10.39,1020184.00,834293.00,8330.00,1125.00
10.40,1028540.00,836964.00,8356.00,1125.00
10.41,1036923.00,839635.00,8383.00,1125.00
10.42,1045333.00,842306.00,8410.00,1125.00
10.43,1053769.00,844977.00,8436.00,1125.00
10.44,1062232.00,847648.00,8463.00,1125.00
10.45,1070722.00,850319.00,8490.00,1125.00
10.46,1079239.00,852990.00,8517.00,1125.00
10.47,1087782.00,855661.00,8543.00,1125.00
10.48,1096352.00,858332.00,8570.00,1125.00
10.49,1104949.00,861003.00,8597.00,1125.00
10.50,1113572.00,863703.00,8624.00,1125.00
10.51,1122223.00,866404.00,8651.00,1125.00
10.52,1130900.00,869104.00,8678.00,1125.00
10.53,1139605.00,871805.00,8705.00,1125.00
10.54,1148336.00,874505.00,8732.00,1125.00
10.55,1157095.00,877206.00,8759.00,1125.00
10.56,1165880.00,879906.00,8786.00,1125.00
10.57,1174693.00,882607.00,8813.00,1125.00
10.58,1183533.00,885307.00,8840.00,1125.00
10.59,1192399.00,888007.00,8867.00,1125.00
10.60,1201293.00,890708.00,8894.00,1125.00
10.61,1210213.00,893408.00,8921.00,1125.00
10.62,1219161.00,896109.00,8948.00,1125.00
10.63,1228136.00,898809.00,8975.00,1125.00
10.64,1237137.00,901510.00,9002.00,1125.00
10.65,1246166.00,904210.00,9029.00,1125.00
10.66,1255221.00,906911.00,9056.00,1125.00
10.67,1264304.00,909611.00,9083.00,1125.00
10.68,1273414.00,912312.00,9110.00,1125.00
10.69,1282550.00,915012.00,9137.00,1125.00
10.70,1291714.00,917713.00,9164.00,1125.00
10.71,1300904.00,920413.00,9191.00,1125.00
10.72,1310122.00,923114.00,9218.00,1125.00
10.73,1319367.00,925814.00,9245.00,1125.00
10.74,1328638.00,928515.00,9272.00,1126.00
10.75,1337932.00,930186.00,9294.00,1126.00
10.76,1347242.00,931858.00,9310.00,1126.00
10.77,1356569.00,933530.00,9327.00,1126.00
10.78,1365913.00,935202.00,9344.00,1126.00
10.79,1375273.00,936874.00,9360.00,1126.00
10.80,1384650.00,938546.00,9377.00,1126.00
10.81,1394044.00,940218.00,9394.00,1126.00
10.82,1403455.00,941890.00,9411.00,1126.00
10.83,1412882.00,943562.00,9427.00,1126.00
10.84,1422326.00,945234.00,9444.00,1126.00
10.85,1431786.00,946906.00,9461.00,1126.00
10.86,1441264.00,948578.00,9477.00,1126.00
10.87,1450758.00,950250.00,9494.00,1126.00
10.88,1460269.00,951922.00,9511.00,1126.00
10.89,1469796.00,953594.00,9528.00,1126.00
10.90,1479341.00,955266.00,9544.00,1126.00
10.91,1488902.00,956938.00,9561.00,1126.00
10.92,1498480.00,958610.00,9578.00,1126.00
10.93,1508074.00,960282.00,9594.00,1126.00
10.94,1517685.00,961954.00,9611.00,1126.00
10.95,1527313.00,963626.00,9628.00,1126.00
10.96,1536958.00,965298.00,9645.00,1126.00
10.97,1546619.00,966970.00,9661.00,1126.00
10.98,1556297.00,968642.00,9678.00,1126.00
10.99,1565992.00,970314.00,9695.00,1126.00
11.00,1575701.00,971488.00,9709.00,1126.00
11.01,1585422.00,972662.00,9721.00,1126.00
11.02,1595154.00,973837.00,9732.00,1126.00
11.03,1604898.00,975011.00,9744.00,1126.00
11.04,1614654.00,976185.00,9756.00,1126.00
11.05,1624422.00,977360.00,9768.00,1126.00
11.06,1634202.00,978534.00,9779.00,1126.00
11.07,1643993.00,979708.00,9791.00,1126.00
11.08,1653796.00,980882.00,9803.00,1126.00
11.09,1663610.00,982057.00,9815.00,1126.00
11.10,1673437.00,983231.00,9826.00,1126.00
11.11,1683275.00,984405.00,9838.00,1126.00
11.12,1693125.00,985580.00,9850.00,1126.00
11.13,1702987.00,986754.00,9862.00,1126.00
11.14,1712860.00,987928.00,9873.00,1126.00
11.15,1722745.00,989102.00,9885.00,1126.00
11.16,1732642.00,990277.00,9897.00,1126.00
11.17,1742551.00,991451.00,9909.00,1126.00
11.18,1752471.00,992625.00,9920.00,1126.00
11.19,1762403.00,993799.00,9932.00,1126.00
11.20,1772347.00,994974.00,9944.00,1126.00
